Parameter1,Parameter2,window_size,count
AF7_Mean,HRV_MeanNN,0.175,5
AF7_Mean,MAIA_BodyListening,0.2,2
AF7_Mean,HRV_RMSSD,0.175,1
AF7_Mean,HRV_HF,0.175,15
AF7_Mean,HRV_HFD,0.175,3
AF7_Mean,HRV_LFHF,0.175,75
AF7_Mean,HRV_HF,0.2,17
AF7_Mean,HCT_Awareness,0.2,1
AF8_Mean,HRV_MeanNN,0.175,11
AF8_Mean,HRV_RMSSD,0.175,1
AF8_Mean,HRV_HF,0.175,21
AF8_Mean,HRV_HFD,0.175,6
AF8_Mean,HRV_LFHF,0.175,51
AF7_Mean,MAIA_Noticing,0.05,56
AF8_Mean,MAIA_Noticing,0.05,58
AF8_Mean,MAIA_EmotionalAwareness,0.05,114
AF7_Mean,MAIA_Noticing,0.1,57
AF7_Mean,MAIA_EmotionalAwareness,0.05,49
AF7_Mean,HRV_LFHF,0.2,73
AF8_Mean,MAIA_BodyListening,0.2,59
AF8_Mean,HRV_HF,0.2,23
AF8_Mean,HRV_LFHF,0.2,55
AF8_Mean,MAIA_Noticing,0.1,58
AF8_Mean,MAIA_EmotionalAwareness,0.1,114
AF7_Mean,MAIA_Noticing,0.125,48
AF8_Mean,MAIA_Noticing,0.125,46
AF8_Mean,MAIA_EmotionalAwareness,0.125,104
AF7_Mean,HRV_MeanNN,0.15,4
AF8_Mean,HRV_LFHF,0.15,41
AF8_Mean,HRV_MeanNN,0.125,10
AF7_Mean,HRV_HFD,0.15,2
AF7_Mean,HRV_LFHF,0.15,79
AF7_Mean,HRV_MeanNN,0.125,1
AF7_Mean,MAIA_NotDistracting,0.05,17
AF8_Mean,HRV_IALS,0.05,3
AF7_Mean,HRV_LFHF,0.125,67
AF8_Mean,HRV_LFHF,0.125,38
AF8_Mean,HRV_MeanNN,0.1,12
AF8_Mean,HRV_LFHF,0.1,42
AF7_Mean,HRV_MeanNN_HCT,0.2,9
AF8_Mean,HRV_LFHF,0.05,34
AF7_Mean,HRV_LFHF,0.1,61
AF7_Mean,MAIA_Noticing,0.15,39
AF7_Mean,MAIA_Noticing,0.2,33
AF8_Mean,MAIA_Noticing,0.2,29
AF8_Mean,MAIA_EmotionalAwareness,0.2,79
AF7_Mean,HRV_MeanNN_HCT,0.175,10
AF7_Mean,MAIA_EmotionalAwareness,0.1,48
AF7_Mean,MAIA_EmotionalAwareness,0.2,34
AF8_Mean,MAIA_Noticing,0.15,33
AF8_Mean,MAIA_EmotionalAwareness,0.15,98
AF8_Mean,MAIA_Noticing,0.175,30
AF8_Mean,MAIA_EmotionalAwareness,0.175,81
AF7_Mean,HRV_MeanNN,0.05,6
AF7_Mean,HRV_HFD,0.05,4
AF7_Mean,MAIA_Noticing,0.175,27
AF8_Mean,HRV_HF,0.15,17
AF7_Mean,HRV_HF,0.15,11
AF7_Mean,MAIA_EmotionalAwareness,0.175,35
AF8_Mean,MAIA_BodyListening,0.175,60
AF7_Mean,HRV_HF,0.125,11
AF8_Mean,HRV_HF,0.125,8
AF7_Mean,HRV_HF,0.1,11
AF8_Mean,HRV_HF,0.1,5
AF7_Mean,HRV_HF,0.05,8
AF7_Mean,HRV_LFHF,0.05,40
AF8_Mean,HRV_HF,0.05,6
AF8_Mean,HRV_HFD,0.05,10
AF7_Mean,MAIA_EmotionalAwareness,0.15,40
AF7_Mean,HRV_MeanNN_HCT,0.1,4
AF7_Mean,HRV_MeanNN_HCT,0.05,5
AF7_Mean,MAIA_EmotionalAwareness,0.125,47
AF8_Mean,MAIA_BodyListening,0.15,61
AF8_Mean,MAIA_BodyListening,0.125,57
AF8_Mean,MAIA_BodyListening,0.1,54
AF8_Mean,MAIA_BodyListening,0.05,60
